Timestamp,Maintenance Type,Duration (hours),Downtime (hours)
2020-01-20 17:05:14.311431143,Corrective,18,13
2020-01-20 20:35:29.972997299,Routine,10,8
2020-01-21 00:05:45.634563456,Corrective,8,28
2020-01-21 03:36:01.296129613,Routine,22,16
2020-01-21 07:06:16.957695769,Corrective,9,34
2020-01-21 10:36:32.619261926,Routine,3,6
2020-01-21 14:06:48.280828082,Routine,8,13
2020-01-21 17:37:03.942394239,Preventive,19,11
2020-01-21 21:07:19.603960396,Preventive,4,13
2020-01-22 00:37:35.265526552,Corrective,22,20
2020-01-22 04:07:50.927092709,Routine,1,40
2020-01-22 07:38:06.588658865,Preventive,5,9
2020-01-22 11:08:22.250225022,Corrective,18,20
2020-01-22 14:38:37.911791179,Corrective,17,44
2020-01-22 18:08:53.573357335,Preventive,15,13
2020-01-22 21:39:09.234923492,Routine,1,43
2020-01-23 01:09:24.896489649,Corrective,2,41
2020-01-23 04:39:40.558055805,Preventive,18,33
2020-01-23 08:09:56.219621962,Routine,16,32
2020-01-23 11:40:11.881188118,Routine,17,12
2020-01-23 15:10:27.542754275,Preventive,21,15
2020-01-23 18:40:43.204320432,Preventive,21,21
2020-01-23 22:10:58.865886588,Corrective,12,23
2020-01-24 01:41:14.527452745,Routine,1,7
2020-01-24 05:11:30.189018901,Corrective,10,18
2020-01-24 08:41:45.850585058,Preventive,19,13
2020-01-24 12:12:01.512151215,Preventive,12,24
2020-01-24 15:42:17.173717371,Preventive,7,9
2020-01-24 19:12:32.835283528,Preventive,23,18
2020-01-24 22:42:48.496849685,Routine,15,1
2020-01-25 02:13:04.158415841,Corrective,15,44
2020-01-25 05:43:19.819981998,Corrective,13,14
2020-01-25 09:13:35.481548154,Routine,3,24
2020-01-25 12:43:51.143114311,Corrective,16,37
2020-01-25 16:14:06.804680468,Routine,22,30
2020-01-25 19:44:22.466246624,Corrective,19,15
2020-01-25 23:14:38.127812781,Preventive,23,10
2020-01-26 02:44:53.789378937,Routine,3,19
2020-01-26 06:15:09.450945094,Routine,14,40
2020-01-26 09:45:25.112511251,Preventive,1,1
2020-01-26 13:15:40.774077407,Corrective,6,42
2020-01-26 16:45:56.435643564,Corrective,2,15
2020-01-26 20:16:12.097209721,Routine,6,24
2020-01-26 23:46:27.758775877,Preventive,17,24
2020-01-27 03:16:43.420342034,Preventive,10,46
2020-01-27 06:46:59.081908190,Preventive,7,32
2020-01-27 10:17:14.743474347,Corrective,23,45
2020-01-27 13:47:30.405040504,Preventive,5,24
2020-01-27 17:17:46.066606660,Routine,10,19
2020-01-27 20:48:01.728172817,Routine,6,41
2020-01-28 00:18:17.389738974,Corrective,8,22
2020-01-28 03:48:33.051305130,Corrective,11,2
2020-01-28 07:18:48.712871287,Corrective,14,41
2020-01-28 10:49:04.374437443,Preventive,20,16
2020-01-28 14:19:20.036003600,Preventive,18,6
2020-01-28 17:49:35.697569757,Preventive,8,43
2020-01-28 21:19:51.359135913,Routine,2,44
2020-01-29 00:50:07.020702070,Preventive,5,36
2020-01-29 04:20:22.682268226,Preventive,1,9
2020-01-29 07:50:38.343834383,Corrective,3,32
2020-01-29 11:20:54.005400540,Preventive,1,5
2020-01-29 14:51:09.666966696,Corrective,14,22
2020-01-29 18:21:25.328532853,Routine,9,21
2020-01-29 21:51:40.990099010,Routine,14,4
2020-01-30 01:21:56.651665166,Corrective,19,45
2020-01-30 04:52:12.313231323,Corrective,19,2
2020-01-30 08:22:27.974797479,Corrective,18,21
2020-01-30 11:52:43.636363636,Preventive,19,10
2020-01-30 15:22:59.297929793,Routine,20,43
2020-01-30 18:53:14.959495949,Routine,14,10
2020-01-30 22:23:30.621062106,Preventive,11,3
2020-01-31 01:53:46.282628262,Corrective,17,37
2020-01-31 05:24:01.944194419,Preventive,5,18
2020-01-31 08:54:17.605760576,Preventive,3,0
2020-01-31 12:24:33.267326732,Routine,3,23
2020-01-31 15:54:48.928892889,Corrective,2,32
2020-01-31 19:25:04.590459046,Routine,19,21
2020-01-31 22:55:20.252025202,Routine,1,1
2020-02-01 02:25:35.913591359,Corrective,14,8
2020-02-01 05:55:51.575157515,Routine,2,15
2020-02-01 09:26:07.236723672,Preventive,11,11
2020-02-01 12:56:22.898289829,Corrective,18,32
2020-02-01 16:26:38.559855985,Preventive,1,25
2020-02-01 19:56:54.221422142,Corrective,4,4
2020-02-01 23:27:09.882988298,Routine,20,3
2020-02-02 02:57:25.544554455,Corrective,4,41
2020-02-02 06:27:41.206120612,Corrective,17,1
2020-02-02 09:57:56.867686768,Preventive,17,6
2020-02-02 13:28:12.529252925,Corrective,9,36
2020-02-02 16:58:28.190819082,Routine,15,25
2020-02-02 20:28:43.852385238,Routine,10,6
2020-02-02 23:58:59.513951395,Routine,12,40
2020-02-03 03:29:15.175517551,Preventive,22,41
2020-02-03 06:59:30.837083708,Preventive,9,36
2020-02-03 10:29:46.498649865,Corrective,17,18
2020-02-03 14:00:02.160216021,Corrective,6,5
2020-02-03 17:30:17.821782178,Corrective,12,21
2020-02-03 21:00:33.483348334,Preventive,18,13
2020-02-04 00:30:49.144914491,Routine,23,12
2020-02-04 04:01:04.806480648,Routine,3,25
2020-02-04 07:31:20.468046804,Preventive,11,42
2020-02-04 11:01:36.129612961,Preventive,9,17
2020-02-04 14:31:51.791179118,Routine,3,13
2020-02-04 18:02:07.452745274,Corrective,22,42
2020-02-04 21:32:23.114311431,Preventive,7,26
2020-02-05 01:02:38.775877587,Routine,12,9
2020-02-05 04:32:54.437443744,Corrective,9,45
2020-02-05 08:03:10.099009901,Routine,2,45
2020-02-05 11:33:25.760576057,Routine,18,5
2020-02-05 15:03:41.422142214,Routine,23,38
2020-02-05 18:33:57.083708370,Preventive,6,9
2020-02-05 22:04:12.745274527,Preventive,3,14
2020-02-06 01:34:28.406840684,Routine,16,47
2020-02-06 05:04:44.068406840,Preventive,13,45
2020-02-06 08:34:59.729972997,Preventive,1,42
2020-02-06 12:05:15.391539154,Preventive,14,31
2020-02-06 15:35:31.053105310,Corrective,18,34
2020-02-06 19:05:46.714671467,Corrective,12,0
2020-02-06 22:36:02.376237623,Preventive,16,3
2020-02-07 02:06:18.037803780,Preventive,14,43
2020-02-07 05:36:33.699369937,Corrective,2,1
2020-02-07 09:06:49.360936093,Preventive,11,14
2020-02-07 12:37:05.022502250,Preventive,20,14
2020-02-07 16:07:20.684068406,Preventive,15,42
2020-02-07 19:37:36.345634563,Preventive,16,4
2020-02-07 23:07:52.007200720,Routine,3,16
2020-02-08 02:38:07.668766876,Routine,5,36
2020-02-08 06:08:23.330333033,Routine,6,10
2020-02-08 09:38:38.991899190,Corrective,2,20
2020-02-08 13:08:54.653465346,Routine,8,31
2020-02-08 16:39:10.315031503,Preventive,21,47
2020-02-08 20:09:25.976597659,Corrective,21,40
2020-02-08 23:39:41.638163816,Routine,22,36
2020-02-09 03:09:57.299729973,Routine,9,11
2020-02-09 06:40:12.961296129,Corrective,23,16
2020-02-09 10:10:28.622862286,Preventive,16,46
2020-02-09 13:40:44.284428442,Corrective,2,41
2020-02-09 17:10:59.945994599,Corrective,5,26
2020-02-09 20:41:15.607560756,Corrective,17,6
2020-02-10 00:11:31.269126912,Corrective,16,14
2020-02-10 03:41:46.930693069,Preventive,21,15
2020-02-10 07:12:02.592259226,Corrective,2,42
2020-02-10 10:42:18.253825382,Corrective,6,8
2020-02-10 14:12:33.915391539,Corrective,8,0
2020-02-10 17:42:49.576957695,Corrective,3,44
2020-02-10 21:13:05.238523852,Preventive,7,42
2020-02-11 00:43:20.900090009,Routine,11,21
2020-02-11 04:13:36.561656165,Corrective,15,10
2020-02-11 07:43:52.223222322,Routine,11,10
2020-02-11 11:14:07.884788478,Preventive,13,3
2020-02-11 14:44:23.546354635,Corrective,19,39
2020-02-11 18:14:39.207920792,Preventive,20,18
2020-02-11 21:44:54.869486948,Routine,5,14
2020-02-12 01:15:10.531053105,Corrective,14,5
2020-02-12 04:45:26.192619262,Routine,10,9
2020-02-12 08:15:41.854185418,Routine,20,24
2020-02-12 11:45:57.515751575,Preventive,15,7
2020-02-12 15:16:13.177317731,Corrective,6,31
2020-02-12 18:46:28.838883888,Preventive,13,44
2020-02-12 22:16:44.500450045,Corrective,23,6
2020-02-13 01:47:00.162016201,Preventive,4,41
2020-02-13 05:17:15.823582358,Preventive,8,18
2020-02-13 08:47:31.485148514,Routine,4,40
2020-02-13 12:17:47.146714671,Preventive,6,43
2020-02-13 15:48:02.808280828,Preventive,12,42
2020-02-13 19:18:18.469846984,Corrective,20,11
2020-02-13 22:48:34.131413141,Preventive,8,24
2020-02-14 02:18:49.792979298,Preventive,2,41
2020-02-14 05:49:05.454545454,Preventive,15,45
2020-02-14 09:19:21.116111611,Preventive,2,12
2020-02-14 12:49:36.777677767,Routine,11,19
2020-02-14 16:19:52.439243924,Routine,19,5
2020-02-14 19:50:08.100810081,Preventive,8,46
2020-02-14 23:20:23.762376237,Corrective,19,42
2020-02-15 02:50:39.423942394,Corrective,4,11
2020-02-15 06:20:55.085508550,Routine,6,12
2020-02-15 09:51:10.747074707,Routine,14,27
2020-02-15 13:21:26.408640864,Corrective,3,11
2020-02-15 16:51:42.070207020,Preventive,11,42
2020-02-15 20:21:57.731773177,Routine,12,1
2020-02-15 23:52:13.393339334,Preventive,10,3
2020-02-16 03:22:29.054905490,Corrective,9,46
2020-02-16 06:52:44.716471647,Corrective,17,33
2020-02-16 10:23:00.378037803,Routine,21,39
2020-02-16 13:53:16.039603960,Routine,19,16
2020-02-16 17:23:31.701170117,Preventive,6,47
2020-02-16 20:53:47.362736273,Preventive,11,40
2020-02-17 00:24:03.024302430,Preventive,13,11
2020-02-17 03:54:18.685868586,Preventive,23,46
2020-02-17 07:24:34.347434743,Preventive,19,20
2020-02-17 10:54:50.009000900,Corrective,19,42
2020-02-17 14:25:05.670567056,Corrective,19,42
2020-02-17 17:55:21.332133213,Routine,8,32
2020-02-17 21:25:36.993699370,Routine,5,39
2020-02-18 00:55:52.655265526,Routine,16,11
2020-02-18 04:26:08.316831683,Routine,1,20
2020-02-18 07:56:23.978397839,Routine,11,36
2020-02-18 11:26:39.639963996,Routine,4,27
2020-02-18 14:56:55.301530153,Corrective,3,19
2020-02-18 18:27:10.963096309,Preventive,14,0
2020-02-18 21:57:26.624662466,Corrective,8,1
2020-02-19 01:27:42.286228622,Routine,9,22
2020-02-19 04:57:57.947794779,Routine,20,31
2020-02-19 08:28:13.609360936,Preventive,15,3
2020-02-19 11:58:29.270927092,Corrective,3,4
2020-02-19 15:28:44.932493249,Preventive,18,3
2020-02-19 18:59:00.594059406,Preventive,2,42
2020-02-19 22:29:16.255625562,Preventive,14,16
2020-02-20 01:59:31.917191719,Preventive,21,19
2020-02-20 05:29:47.578757875,Routine,15,22
2020-02-20 09:00:03.240324032,Routine,10,8
2020-02-20 12:30:18.901890189,Routine,22,41
2020-02-20 16:00:34.563456345,Corrective,19,38
2020-02-20 19:30:50.225022502,Corrective,21,41
2020-02-20 23:01:05.886588658,Corrective,7,9
2020-02-21 02:31:21.548154815,Preventive,23,40
2020-02-21 06:01:37.209720972,Corrective,12,35
2020-02-21 09:31:52.871287128,Routine,22,11
2020-02-21 13:02:08.532853285,Preventive,4,20
2020-02-21 16:32:24.194419442,Routine,19,9
2020-02-21 20:02:39.855985598,Corrective,9,10
2020-02-21 23:32:55.517551755,Routine,2,16
2020-02-22 03:03:11.179117912,Routine,19,39
2020-02-22 06:33:26.840684068,Corrective,14,26
2020-02-22 10:03:42.502250225,Corrective,8,32
2020-02-22 13:33:58.163816381,Routine,19,45
2020-02-22 17:04:13.825382538,Routine,5,31
2020-02-22 20:34:29.486948695,Corrective,1,40
2020-02-23 00:04:45.148514851,Preventive,9,42
2020-02-23 03:35:00.810081008,Routine,6,38
2020-02-23 07:05:16.471647165,Routine,22,42
2020-02-23 10:35:32.133213321,Preventive,19,31
2020-02-23 14:05:47.794779478,Corrective,1,22
2020-02-23 17:36:03.456345634,Corrective,9,0
2020-02-23 21:06:19.117911791,Preventive,16,41
2020-02-24 00:36:34.779477948,Routine,11,1
2020-02-24 04:06:50.441044104,Corrective,3,15
2020-02-24 07:37:06.102610261,Routine,13,18
2020-02-24 11:07:21.764176417,Preventive,23,20
2020-02-24 14:37:37.425742574,Corrective,14,47
2020-02-24 18:07:53.087308731,Corrective,22,26
2020-02-24 21:38:08.748874887,Routine,2,5
2020-02-25 01:08:24.410441044,Routine,22,32
2020-02-25 04:38:40.072007201,Corrective,2,4
2020-02-25 08:08:55.733573357,Corrective,6,26
2020-02-25 11:39:11.395139514,Routine,16,43
2020-02-25 15:09:27.056705670,Routine,13,8
2020-02-25 18:39:42.718271827,Preventive,6,7
2020-02-25 22:09:58.379837984,Routine,9,9
2020-02-26 01:40:14.041404140,Routine,9,38
2020-02-26 05:10:29.702970297,Preventive,7,8
2020-02-26 08:40:45.364536453,Routine,5,34
2020-02-26 12:11:01.026102610,Routine,14,37
2020-02-26 15:41:16.687668767,Corrective,3,43
2020-02-26 19:11:32.349234923,Routine,23,14
2020-02-26 22:41:48.010801080,Preventive,17,27
2020-02-27 02:12:03.672367237,Routine,23,37
2020-02-27 05:42:19.333933393,Corrective,17,34
2020-02-27 09:12:34.995499550,Preventive,16,10
2020-02-27 12:42:50.657065706,Preventive,20,21
2020-02-27 16:13:06.318631863,Preventive,14,25
2020-02-27 19:43:21.980198020,Corrective,16,30
2020-02-27 23:13:37.641764176,Preventive,12,20
2020-02-28 02:43:53.303330333,Preventive,5,38
2020-02-28 06:14:08.964896489,Preventive,12,39
2020-02-28 09:44:24.626462646,Corrective,4,32
2020-02-28 13:14:40.288028803,Corrective,2,9
2020-02-28 16:44:55.949594959,Preventive,15,47
2020-02-28 20:15:11.611161116,Routine,4,28
2020-02-28 23:45:27.272727273,Preventive,1,20
2020-02-29 03:15:42.934293429,Preventive,9,3
2020-02-29 06:45:58.595859586,Corrective,10,4
2020-02-29 10:16:14.257425742,Routine,6,12
2020-02-29 13:46:29.918991899,Corrective,21,19
2020-02-29 17:16:45.580558056,Routine,11,38
2020-02-29 20:47:01.242124212,Routine,2,6
2020-03-01 00:17:16.903690369,Corrective,16,16
2020-03-01 03:47:32.565256525,Corrective,3,5
2020-03-01 07:17:48.226822682,Routine,22,30
2020-03-01 10:48:03.888388839,Routine,8,12
2020-03-01 14:18:19.549954995,Routine,17,5
2020-03-01 17:48:35.211521152,Corrective,9,46
2020-03-01 21:18:50.873087309,Preventive,22,35
2020-03-02 00:49:06.534653465,Preventive,7,46
2020-03-02 04:19:22.196219622,Corrective,3,24
2020-03-02 07:49:37.857785778,Routine,6,26
2020-03-02 11:19:53.519351935,Preventive,6,24
2020-03-02 14:50:09.180918092,Preventive,5,3
2020-03-02 18:20:24.842484248,Routine,2,40
2020-03-02 21:50:40.504050405,Routine,22,16
2020-03-03 01:20:56.165616561,Preventive,21,3
2020-03-03 04:51:11.827182718,Corrective,10,30
2020-03-03 08:21:27.488748875,Routine,16,40
2020-03-03 11:51:43.150315031,Preventive,11,5
2020-03-03 15:21:58.811881188,Preventive,4,9
2020-03-03 18:52:14.473447345,Preventive,11,12
2020-03-03 22:22:30.135013501,Routine,18,18
2020-03-04 01:52:45.796579658,Preventive,4,44
2020-03-04 05:23:01.458145814,Corrective,18,7
2020-03-04 08:53:17.119711971,Routine,23,7
2020-03-04 12:23:32.781278128,Preventive,8,18
2020-03-04 15:53:48.442844284,Routine,23,24
2020-03-04 19:24:04.104410441,Preventive,18,17
2020-03-04 22:54:19.765976597,Preventive,4,38
2020-03-05 02:24:35.427542754,Routine,17,13
2020-03-05 05:54:51.089108911,Corrective,15,45
2020-03-05 09:25:06.750675067,Preventive,13,28
2020-03-05 12:55:22.412241224,Preventive,21,23
2020-03-05 16:25:38.073807381,Routine,21,9
2020-03-05 19:55:53.735373537,Preventive,23,31
2020-03-05 23:26:09.396939694,Preventive,22,28
2020-03-06 02:56:25.058505850,Corrective,12,18
2020-03-06 06:26:40.720072007,Routine,3,25
2020-03-06 09:56:56.381638164,Preventive,6,15
2020-03-06 13:27:12.043204320,Corrective,19,46
2020-03-06 16:57:27.704770477,Preventive,22,3
2020-03-06 20:27:43.366336633,Corrective,8,37
2020-03-06 23:57:59.027902790,Routine,5,45
2020-03-07 03:28:14.689468947,Routine,5,8
2020-03-07 06:58:30.351035103,Preventive,20,12
2020-03-07 10:28:46.012601260,Preventive,18,43
2020-03-07 13:59:01.674167417,Routine,2,3
2020-03-07 17:29:17.335733573,Corrective,10,33
2020-03-07 20:59:32.997299730,Preventive,17,40
2020-03-08 00:29:48.658865886,Preventive,22,34
2020-03-08 04:00:04.320432043,Routine,14,17
2020-03-08 07:30:19.981998200,Corrective,18,27
2020-03-08 11:00:35.643564356,Corrective,16,33
2020-03-08 14:30:51.305130513,Routine,18,35
2020-03-08 18:01:06.966696669,Preventive,17,40
2020-03-08 21:31:22.628262826,Corrective,3,46
2020-03-09 01:01:38.289828983,Routine,12,25
2020-03-09 04:31:53.951395139,Corrective,9,47
2020-03-09 08:02:09.612961296,Corrective,2,25
2020-03-09 11:32:25.274527453,Corrective,9,23
2020-03-09 15:02:40.936093609,Preventive,10,26
2020-03-09 18:32:56.597659766,Corrective,6,43
2020-03-09 22:03:12.259225922,Preventive,9,12
2020-03-10 01:33:27.920792079,Preventive,8,16
2020-03-10 05:03:43.582358236,Corrective,17,1
2020-03-10 08:33:59.243924392,Preventive,15,31
2020-03-10 12:04:14.905490549,Corrective,4,18
2020-03-10 15:34:30.567056705,Preventive,7,43
2020-03-10 19:04:46.228622862,Corrective,5,32
2020-03-10 22:35:01.890189019,Routine,18,44
2020-03-11 02:05:17.551755175,Preventive,10,16
2020-03-11 05:35:33.213321332,Preventive,16,42
2020-03-11 09:05:48.874887489,Preventive,16,35
2020-03-11 12:36:04.536453645,Preventive,16,30
2020-03-11 16:06:20.198019802,Preventive,18,18
2020-03-11 19:36:35.859585958,Preventive,19,34
2020-03-11 23:06:51.521152115,Preventive,18,8
2020-03-12 02:37:07.182718272,Corrective,9,24
2020-03-12 06:07:22.844284428,Preventive,13,13
2020-03-12 09:37:38.505850585,Corrective,8,31
2020-03-12 13:07:54.167416741,Routine,15,23
2020-03-12 16:38:09.828982898,Corrective,14,24
2020-03-12 20:08:25.490549055,Preventive,18,8
2020-03-12 23:38:41.152115211,Corrective,23,47
2020-03-13 03:08:56.813681368,Preventive,4,33
2020-03-13 06:39:12.475247525,Preventive,7,44
2020-03-13 10:09:28.136813681,Corrective,9,26
2020-03-13 13:39:43.798379838,Routine,5,15
2020-03-13 17:09:59.459945994,Routine,2,5
2020-03-13 20:40:15.121512151,Corrective,15,39
2020-03-14 00:10:30.783078308,Corrective,7,22
2020-03-14 03:40:46.444644464,Corrective,2,14
2020-03-14 07:11:02.106210621,Preventive,22,6
2020-03-14 10:41:17.767776777,Preventive,19,44
2020-03-14 14:11:33.429342934,Corrective,11,17
2020-03-14 17:41:49.090909091,Corrective,20,47
2020-03-14 21:12:04.752475247,Routine,21,7
2020-03-15 00:42:20.414041404,Preventive,16,11
2020-03-15 04:12:36.075607561,Preventive,7,10
2020-03-15 07:42:51.737173717,Preventive,4,41
2020-03-15 11:13:07.398739874,Corrective,17,37
2020-03-15 14:43:23.060306030,Preventive,12,28
2020-03-15 18:13:38.721872187,Routine,2,27
2020-03-15 21:43:54.383438344,Preventive,13,9
2020-03-16 01:14:10.045004500,Corrective,16,6
2020-03-16 04:44:25.706570657,Preventive,5,5
2020-03-16 08:14:41.368136813,Routine,12,28
2020-03-16 11:44:57.029702970,Preventive,1,23
2020-03-16 15:15:12.691269127,Routine,4,7
2020-03-16 18:45:28.352835283,Preventive,7,15
2020-03-16 22:15:44.014401440,Corrective,1,2
2020-03-17 01:45:59.675967597,Preventive,12,20
2020-03-17 05:16:15.337533753,Routine,21,25
2020-03-17 08:46:30.999099910,Routine,21,26
2020-03-17 12:16:46.660666066,Preventive,3,9
2020-03-17 15:47:02.322232223,Preventive,4,37
2020-03-17 19:17:17.983798380,Routine,19,22
2020-03-17 22:47:33.645364536,Routine,5,16
2020-03-18 02:17:49.306930693,Routine,2,8
2020-03-18 05:48:04.968496849,Corrective,8,5
2020-03-18 09:18:20.630063006,Routine,12,24
2020-03-18 12:48:36.291629163,Corrective,18,20
2020-03-18 16:18:51.953195319,Corrective,18,35
2020-03-18 19:49:07.614761476,Routine,11,7
2020-03-18 23:19:23.276327633,Corrective,20,17
2020-03-19 02:49:38.937893789,Corrective,3,6
2020-03-19 06:19:54.599459946,Preventive,8,31
2020-03-19 09:50:10.261026102,Corrective,18,27
2020-03-19 13:20:25.922592259,Corrective,23,32
2020-03-19 16:50:41.584158416,Routine,12,43
2020-03-19 20:20:57.245724572,Preventive,13,1
2020-03-19 23:51:12.907290729,Preventive,22,20
